soc,t_start,t_end,scenario,eta,rank,task_id,dims,w,p_start,p_end,Delta_p,r
49-1011.00,2024.0,2035.0,Baseline,2.0,10,15262,D7,0.056987,0.0449690869296608,0.0409802972207874,-0.003988789708873397,0.008003351389606301
49-1011.00,2024.0,2035.0,Baseline,4.0,1,2929,D2,0.057635,0.1112053251141248,0.1222319504860177,0.011026625371892904,0.032298475243008856
49-1011.00,2024.0,2035.0,Baseline,4.0,2,2918,D4,0.056513,0.1090404535121807,0.119852419845863,0.01081196633368231,0.0316697099229315
49-1011.00,2024.0,2035.0,Baseline,4.0,3,2925,D1,0.056277,0.1085850972750517,0.1193519125097877,0.010766815234736007,0.03153745625489385
49-1011.00,2024.0,2035.0,Baseline,4.0,4,2915,D2,0.052655,0.1015965367204692,0.11167039737731,0.010073860656840794,0.029507698688654996
49-1011.00,2024.0,2035.0,Baseline,4.0,5,2912,D5,0.058948,0.0204589196716651,0.0125364740150809,-0.0079224456565842,0.02320576299245955
49-1011.00,2024.0,2035.0,Baseline,4.0,6,2930,D6,0.04069,0.078510361393142,0.0862950995970514,0.007784738203909389,0.0228025497985257
49-1011.00,2024.0,2035.0,Baseline,4.0,7,2932,D4,0.033335,0.0643190684944799,0.0706966612206367,0.006377592726156803,0.01868083061031835
49-1011.00,2024.0,2035.0,Baseline,4.0,8,2914,D7,0.060013,0.0324399933729898,0.0267644597568566,-0.0056755336161332,0.0166242701215717
49-1011.00,2024.0,2035.0,Baseline,4.0,9,15263,D7,0.058933,0.0318561999808443,0.0262828038400152,-0.005573396140829103,0.016325098079992398
49-1011.00,2024.0,2035.0,Baseline,4.0,10,15262,D7,0.056987,0.030804290776108,0.025414931234299,-0.005389359541809,0.015786034382850502
49-1011.00,2024.0,2035.0,Baseline,8.0,1,2929,D2,0.057635,0.1602431366722884,0.1660861671832847,0.0058430305109963,0.054225583591642354
49-1011.00,2024.0,2035.0,Baseline,8.0,2,2918,D4,0.056513,0.1571236294397681,0.1628529117034609,0.005729282263692792,0.05316995585173044
49-1011.00,2024.0,2035.0,Baseline,8.0,3,2925,D1,0.056277,0.1564674764033378,0.162172833010735,0.005705356607397211,0.05294791650536751
49-1011.00,2024.0,2035.0,Baseline,8.0,4,2915,D2,0.052655,0.1463971954798186,0.1517353540910186,0.005338158611199989,0.049540177045509295
49-1011.00,2024.0,2035.0,Baseline,8.0,5,2930,D6,0.04069,0.1131307925946979,0.1172559407076924,0.004125148112994498,0.0382829703538462
49-1011.00,2024.0,2035.0,Baseline,8.0,6,2932,D4,0.033335,0.0926816163957792,0.0960611153475283,0.0033794989517491048,0.031363057673764155
49-1011.00,2024.0,2035.0,Baseline,8.0,7,2912,D5,0.058948,0.0048398567516628,0.0017586479098227,-0.0030812088418400996,0.02859467604508865
49-1011.00,2024.0,2035.0,Baseline,8.0,8,2914,D7,0.060013,0.0102389072025807,0.0074045015271102,-0.0028344056754705006,0.0263042492364449
49-1011.00,2024.0,2035.0,Baseline,8.0,9,15263,D7,0.058933,0.0100546467960223,0.0072712493709227,-0.0027833974250996004,0.02583087531453865
49-1011.00,2024.0,2035.0,Baseline,8.0,10,15262,D7,0.056987,0.0097226368412422,0.007031148726533,-0.002691488114709201,0.0249779256367335
49-1011.00,2024.0,2035.0,Fast,0.5,1,2912,D5,0.058948,0.0527513413361412,0.049645605331786,-0.0031057360043552015,0.004651197334107002
49-1011.00,2024.0,2035.0,Fast,0.5,2,2929,D2,0.057635,0.0628888441455275,0.0655218841710456,0.002633040025518091,0.003943442085522799
49-1011.00,2024.0,2035.0,Fast,0.5,3,2918,D4,0.056513,0.0616645657880835,0.0642463475346282,0.0025817817465446993,0.0038666737673140987
49-1011.00,2024.0,2035.0,Fast,0.5,4,2925,D1,0.056277,0.0614070526932914,0.0639780528410503,0.002571000147758906,0.003850526420525153
49-1011.00,2024.0,2035.0,Fast,0.5,5,2915,D2,0.052655,0.057454881382541,0.0598604113997815,0.0024055300172405036,0.0036027056998907507
49-1011.00,2024.0,2035.0,Fast,0.5,6,2930,D6,0.04069,0.0443991857080162,0.0462580978037624,0.0018589120957462,0.0027840489018812024
49-1011.00,2024.0,2035.0,Fast,0.5,7,2932,D4,0.033335,0.0363737246393885,0.0378966254678894,0.0015229008285009005,0.0022808127339447003
49-1011.00,2024.0,2035.0,Fast,0.5,8,2914,D7,0.060013,0.057245336864821,0.0558581465496195,-0.0013871903152015003,0.0020774267251902484
49-1011.00,2024.0,2035.0,Fast,0.5,9,15263,D7,0.058933,0.0562151440097061,0.054852917711308,-0.001362226298398099,0.002040041144346
49-1011.00,2024.0,2035.0,Fast,0.5,10,15262,D7,0.056987,0.0543588891059529,0.0530416442674615,-0.0013172448384913965,0.00197267786626925
49-1011.00,2024.0,2035.0,Fast,1.0,1,2912,D5,0.058948,0.0469555284330964,0.041414270975566,-0.005541257457530403,0.008766864512217
49-1011.00,2024.0,2035.0,Fast,1.0,2,2929,D2,0.057635,0.0686783481824699,0.0737808972824566,0.005102549099986697,0.0080729486412283
49-1011.00,2024.0,2035.0,Fast,1.0,3,2918,D4,0.056513,0.0673413635956609,0.0723445796499258,0.005003216054264903,0.0079157898249629
49-1011.00,2024.0,2035.0,Fast,1.0,4,2925,D1,0.056277,0.0670601440212519,0.0720424664937072,0.0049823224724552945,0.0078827332468536
